1,1,0
2,1,1
3,1,2
4,1,3
5,1,4
6,1,5
7,1,6
8,1,7
9,1,8
10,1,9
11,1,10
12,1,11
13,1,12
14,1,13
15,1,14
16,1,15
17,2,0
18,2,1
19,2,2
20,2,3
21,2,4
22,2,5
23,2,6
24,2,7
25,2,8
26,2,9
27,2,10
28,2,11
29,2,12
30,2,13
31,2,14
32,2,15
33,3,0
34,3,1
35,3,2
36,3,3
37,3,4
38,3,5
39,3,6
40,3,7
41,3,8
42,3,9
43,3,10
44,3,11
45,3,12
46,3,13
47,3,14
48,3,15
49,4,0
50,4,1
51,4,2
52,4,3
53,4,4
54,4,5
55,4,6
56,4,7
57,4,8
58,4,9
59,4,10
60,4,11
61,4,12
62,4,13
63,4,14
64,4,15
65,5,0
66,5,1
67,5,2
68,5,3
69,5,4
70,5,5
71,5,6
72,5,7
73,5,8
74,5,9
75,5,10
76,5,11
77,5,12
78,5,13
79,5,14
80,5,15
81,6,0
82,6,1
83,6,2
84,6,3
85,6,4
86,6,5
87,6,6
88,6,7
89,6,8
90,6,9
91,6,10
92,6,11
93,6,12
94,6,13
95,6,14
96,6,15
97,7,0
98,7,1
99,7,2
100,7,3
